"Morbi elit tellus, venenatis at purus sed, consequat ultrices nibh.";Sim
"Maecenas purus lorem, consequat nec ante eget, posuere blandit odio.";Sim
"Morbi sit amet nibh eu massa rhoncus faucibus in sed justo. Vivamus";Sim
"tincidunt tincidunt nisi vitae volutpat. Morbi pellentesque aliquam";Sim
"egestas. Sed nibh sem, dapibus non fermentum ut, molestie et mauris.";Sim
"Maecenas maximus malesuada nibh, nec consectetur ligula maximus et.";Sim
"Donec sit amet vulputate enim. Vivamus varius dignissim mi, quis";Sim
"tincidunt mauris sollicitudin blandit. Orci varius natoque penatibus";Sim
"et magnis dis parturient montes, nascetur ridiculus mus.";Sim
"Testando a escrita em PHP.";Não
"Testado a maneira de escrita em PHP.";Não
"Testando a escrita em PHP.";Não
"Design Patterns in PHP";Não
